Age,Overall,Potential,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Jersey Number,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause
31,72,72,2700000.0,6000.0,1926,1,2.0,3.0,3.0,2,5,15.0,180.0,70.0,73.0,64.0,59.0,76.0,67.0,74.0,80.0,74.0,72.0,77.0,66.0,61.0,72.0,71.0,74.0,76.0,65.0,50.0,60.0,71.0,69.0,60.0,73.0,78.0,68.0,74.0,47.0,54.0,40.0,7.0,13.0,10.0,11.0,14.0,5600000.0
31,72,72,2800000.0,11000.0,1795,1,1.0,4.0,3.0,1,2,30.0,180.0,72.0,49.0,68.0,76.0,68.0,70.0,67.0,46.0,55.0,55.0,77.0,75.0,68.0,80.0,68.0,75.0,69.0,68.0,69.0,66.0,70.0,74.0,34.0,77.0,76.0,71.0,73.0,26.0,21.0,23.0,16.0,12.0,9.0,7.0,10.0,3600000.0
33,72,72,1300000.0,10000.0,1798,1,1.0,3.0,2.0,8,5,4.0,183.0,77.0,46.0,53.0,74.0,68.0,40.0,59.0,49.0,45.0,68.0,59.0,56.0,64.0,51.0,67.0,64.0,60.0,86.0,77.0,75.0,59.0,78.0,68.0,55.0,55.0,45.0,70.0,70.0,70.0,76.0,14.0,15.0,8.0,11.0,13.0,2500000.0
32,72,72,2400000.0,1000.0,1871,1,1.0,3.0,3.0,2,5,5.0,177.0,70.0,66.0,69.0,67.0,75.0,57.0,72.0,74.0,78.0,66.0,74.0,72.0,70.0,80.0,62.0,81.0,72.0,58.0,62.0,55.0,77.0,56.0,29.0,70.0,68.0,50.0,71.0,62.0,55.0,34.0,11.0,11.0,15.0,12.0,11.0,5200000.0
22,72,75,3300000.0,10000.0,1992,0,1.0,3.0,4.0,2,2,8.0,155.0,65.0,72.0,57.0,64.0,75.0,68.0,78.0,73.0,65.0,65.0,79.0,79.0,81.0,84.0,68.0,67.0,63.0,75.0,70.0,52.0,55.0,72.0,72.0,69.0,77.0,56.0,70.0,60.0,67.0,66.0,10.0,13.0,11.0,14.0,15.0,4800000.0
21,72,86,6000000.0,14000.0,1594,1,1.0,3.0,2.0,3,5,56.0,186.0,75.0,38.0,23.0,65.0,66.0,34.0,51.0,32.0,32.0,65.0,62.0,65.0,68.0,65.0,68.0,59.0,48.0,69.0,56.0,68.0,30.0,71.0,72.0,36.0,36.0,43.0,63.0,75.0,75.0,72.0,12.0,12.0,6.0,7.0,13.0,14000000.0
29,72,72,2400000.0,14000.0,1650,1,1.0,3.0,2.0,8,5,4.0,189.0,83.0,44.0,56.0,71.0,64.0,53.0,49.0,30.0,36.0,56.0,65.0,36.0,39.0,53.0,71.0,40.0,62.0,62.0,88.0,90.0,36.0,71.0,72.0,57.0,49.0,38.0,66.0,68.0,75.0,67.0,8.0,8.0,15.0,7.0,14.0,5300000.0
26,72,74,3100000.0,6000.0,1883,1,1.0,3.0,3.0,2,5,25.0,177.0,63.0,73.0,23.0,60.0,69.0,24.0,73.0,63.0,58.0,68.0,74.0,76.0,77.0,75.0,67.0,75.0,45.0,77.0,81.0,62.0,59.0,75.0,69.0,63.0,64.0,69.0,73.0,73.0,70.0,69.0,12.0,9.0,9.0,9.0,13.0,5700000.0
24,72,75,3900000.0,16000.0,1872,1,1.0,4.0,3.0,8,5,30.0,177.0,72.0,74.0,65.0,50.0,71.0,50.0,72.0,74.0,73.0,67.0,73.0,79.0,78.0,91.0,67.0,84.0,67.0,63.0,73.0,51.0,43.0,59.0,53.0,66.0,70.0,60.0,55.0,45.0,51.0,52.0,12.0,14.0,8.0,8.0,9.0,6600000.0
30,72,72,2900000.0,14000.0,1785,0,1.0,3.0,3.0,8,2,10.0,156.0,69.0,71.0,67.0,51.0,73.0,62.0,73.0,72.0,67.0,68.0,76.0,68.0,72.0,71.0,65.0,67.0,55.0,59.0,64.0,59.0,56.0,37.0,46.0,71.0,75.0,64.0,66.0,26.0,54.0,42.0,11.0,15.0,12.0,9.0,7.0,5600000.0
28,72,72,2500000.0,11000.0,1904,1,1.0,3.0,3.0,1,5,29.0,180.0,73.0,74.0,37.0,57.0,64.0,48.0,74.0,73.0,41.0,59.0,68.0,90.0,81.0,75.0,75.0,73.0,75.0,63.0,80.0,64.0,45.0,77.0,68.0,67.0,71.0,48.0,69.0,66.0,68.0,70.0,9.0,11.0,12.0,6.0,15.0,3600000.0
22,72,79,3700000.0,15000.0,1944,1,1.0,4.0,3.0,8,8,13.0,156.0,79.0,68.0,64.0,54.0,75.0,44.0,69.0,62.0,40.0,70.0,74.0,78.0,78.0,69.0,68.0,72.0,79.0,73.0,78.0,84.0,74.0,73.0,70.0,61.0,65.0,57.0,60.0,68.0,71.0,60.0,11.0,13.0,5.0,8.0,9.0,7500000.0
27,72,72,3300000.0,4000.0,1749,1,1.0,4.0,3.0,8,5,10.0,171.0,73.0,67.0,61.0,55.0,69.0,54.0,76.0,53.0,55.0,60.0,74.0,79.0,73.0,93.0,69.0,93.0,69.0,83.0,53.0,30.0,66.0,39.0,29.0,70.0,72.0,43.0,58.0,55.0,25.0,27.0,14.0,8.0,13.0,13.0,9.0,4600000.0
24,72,78,4300000.0,11000.0,1824,0,1.0,2.0,3.0,8,5,10.0,174.0,72.0,68.0,64.0,57.0,68.0,56.0,77.0,50.0,44.0,56.0,75.0,83.0,81.0,82.0,68.0,71.0,65.0,74.0,85.0,63.0,61.0,64.0,48.0,66.0,65.0,63.0,65.0,41.0,38.0,34.0,9.0,15.0,13.0,7.0,13.0,7200000.0
22,72,81,4900000.0,13000.0,1717,1,1.0,3.0,3.0,2,2,23.0,183.0,76.0,60.0,75.0,70.0,68.0,65.0,68.0,54.0,51.0,53.0,74.0,72.0,72.0,61.0,68.0,68.0,69.0,67.0,69.0,74.0,64.0,55.0,24.0,74.0,64.0,63.0,75.0,32.0,15.0,12.0,14.0,14.0,11.0,7.0,10.0,10700000.0
32,72,72,2400000.0,15000.0,1982,0,1.0,3.0,3.0,8,5,5.0,180.0,82.0,74.0,66.0,67.0,71.0,71.0,69.0,70.0,65.0,68.0,75.0,62.0,68.0,68.0,71.0,69.0,74.0,71.0,72.0,71.0,73.0,71.0,67.0,72.0,72.0,66.0,71.0,71.0,64.0,57.0,6.0,10.0,14.0,9.0,8.0,3500000.0
23,72,78,4200000.0,19000.0,1904,0,1.0,4.0,3.0,8,5,6.0,180.0,73.0,69.0,57.0,50.0,75.0,51.0,71.0,60.0,50.0,71.0,73.0,66.0,68.0,74.0,71.0,75.0,67.0,69.0,76.0,62.0,64.0,68.0,72.0,55.0,76.0,54.0,75.0,65.0,71.0,67.0,14.0,7.0,12.0,8.0,16.0,8800000.0
31,72,72,2700000.0,11000.0,1834,1,2.0,3.0,3.0,2,2,6.0,155.0,79.0,66.0,65.0,69.0,70.0,67.0,73.0,59.0,58.0,57.0,73.0,87.0,87.0,86.0,65.0,82.0,75.0,84.0,68.0,61.0,71.0,41.0,31.0,74.0,65.0,65.0,55.0,30.0,21.0,24.0,16.0,15.0,11.0,12.0,6.0,4000000.0
27,72,73,3600000.0,10000.0,1845,1,1.0,3.0,3.0,0,8,22.0,180.0,73.0,46.0,75.0,68.0,72.0,69.0,64.0,55.0,54.0,45.0,66.0,78.0,73.0,69.0,65.0,67.0,78.0,70.0,87.0,76.0,73.0,71.0,65.0,68.0,48.0,75.0,63.0,29.0,45.0,39.0,10.0,14.0,8.0,14.0,9.0,6100000.0
34,72,72,1600000.0,6000.0,1778,0,1.0,3.0,3.0,8,5,17.0,156.0,77.0,60.0,73.0,67.0,65.0,60.0,69.0,69.0,50.0,54.0,69.0,77.0,81.0,73.0,73.0,71.0,64.0,71.0,71.0,71.0,62.0,47.0,40.0,75.0,61.0,71.0,71.0,38.0,29.0,20.0,12.0,8.0,11.0,8.0,8.0,2200000.0
27,72,72,3300000.0,8000.0,1751,1,1.0,4.0,4.0,2,5,33.0,156.0,76.0,69.0,69.0,63.0,67.0,71.0,75.0,42.0,38.0,60.0,73.0,74.0,73.0,71.0,72.0,65.0,75.0,66.0,68.0,69.0,69.0,74.0,16.0,70.0,69.0,60.0,70.0,21.0,26.0,23.0,13.0,11.0,10.0,16.0,13.0,6800000.0
18,72,87,6500000.0,32000.0,1672,1,1.0,3.0,3.0,2,2,18.0,183.0,79.0,42.0,75.0,65.0,59.0,64.0,73.0,62.0,43.0,38.0,74.0,75.0,79.0,75.0,68.0,69.0,71.0,68.0,69.0,73.0,58.0,45.0,21.0,72.0,51.0,65.0,68.0,27.0,28.0,16.0,13.0,8.0,10.0,7.0,9.0,14800000.0
39,72,72,900000.0,10000.0,1698,1,2.0,4.0,3.0,7,5,31.0,180.0,76.0,64.0,78.0,60.0,68.0,75.0,68.0,74.0,60.0,44.0,79.0,34.0,45.0,55.0,75.0,77.0,82.0,66.0,43.0,53.0,78.0,43.0,24.0,82.0,69.0,76.0,80.0,34.0,27.0,23.0,14.0,12.0,6.0,5.0,5.0,1500000.0
25,72,76,4099999.9999999995,31000.0,1749,1,1.0,3.0,3.0,2,5,9.0,183.0,78.0,46.0,75.0,66.0,68.0,70.0,65.0,65.0,57.0,52.0,70.0,76.0,83.0,69.0,68.0,65.0,68.0,77.0,64.0,78.0,64.0,60.0,25.0,73.0,64.0,72.0,70.0,31.0,22.0,17.0,7.0,6.0,9.0,10.0,7.0,8000000.0
28,72,72,3200000.0,9000.0,1790,1,1.0,4.0,3.0,8,5,32.0,186.0,77.0,56.0,75.0,71.0,58.0,64.0,67.0,61.0,56.0,48.0,70.0,72.0,70.0,73.0,70.0,67.0,73.0,78.0,63.0,79.0,66.0,67.0,32.0,73.0,61.0,79.0,71.0,42.0,16.0,19.0,11.0,12.0,12.0,14.0,15.0,4300000.0
26,72,73,3000000.0,8000.0,1829,0,1.0,3.0,3.0,6,5,22.0,155.0,67.0,71.0,26.0,59.0,71.0,23.0,68.0,66.0,68.0,62.0,69.0,79.0,77.0,78.0,66.0,76.0,46.0,71.0,65.0,64.0,47.0,64.0,74.0,69.0,57.0,55.0,63.0,66.0,73.0,71.0,14.0,6.0,12.0,9.0,7.0,4099999.9999999995
27,72,74,3000000.0,20000.0,1545,1,1.0,3.0,2.0,8,2,19.0,195.0,84.0,50.0,40.0,74.0,58.0,25.0,32.0,31.0,21.0,51.0,54.0,54.0,53.0,52.0,69.0,48.0,62.0,50.0,59.0,79.0,35.0,73.0,74.0,44.0,37.0,44.0,68.0,70.0,77.0,73.0,8.0,12.0,13.0,10.0,13.0,5100000.0
24,72,77,3500000.0,28000.0,1695,1,1.0,4.0,2.0,3,5,5.0,183.0,77.0,40.0,42.0,75.0,62.0,41.0,58.0,44.0,39.0,64.0,62.0,65.0,68.0,52.0,70.0,74.0,55.0,81.0,76.0,72.0,21.0,68.0,74.0,40.0,48.0,44.0,75.0,69.0,73.0,72.0,11.0,8.0,6.0,8.0,13.0,7000000.0
31,72,72,2100000.0,27000.0,1946,0,2.0,2.0,2.0,8,5,16.0,183.0,73.0,67.0,62.0,72.0,73.0,53.0,59.0,69.0,53.0,68.0,74.0,60.0,53.0,53.0,72.0,72.0,70.0,90.0,75.0,77.0,67.0,70.0,72.0,67.0,63.0,70.0,78.0,73.0,70.0,65.0,13.0,13.0,8.0,10.0,13.0,4000000.0
24,72,77,3500000.0,1000.0,1838,1,1.0,4.0,3.0,6,2,18.0,180.0,69.0,65.0,50.0,72.0,72.0,49.0,68.0,48.0,59.0,66.0,69.0,80.0,76.0,68.0,66.0,66.0,57.0,75.0,71.0,51.0,56.0,55.0,68.0,64.0,60.0,43.0,62.0,76.0,73.0,73.0,10.0,6.0,9.0,6.0,11.0,7700000.0
29,72,72,2400000.0,22000.0,1762,1,1.0,3.0,2.0,8,2,25.0,192.0,82.0,44.0,47.0,74.0,68.0,43.0,51.0,41.0,48.0,63.0,63.0,60.0,57.0,61.0,68.0,63.0,64.0,73.0,68.0,71.0,43.0,70.0,71.0,59.0,54.0,69.0,66.0,72.0,73.0,71.0,10.0,13.0,12.0,8.0,10.0,4000000.0
31,72,72,2700000.0,14000.0,1946,1,1.0,4.0,3.0,0,5,22.0,155.0,78.0,65.0,62.0,35.0,74.0,45.0,70.0,80.0,76.0,68.0,69.0,74.0,69.0,75.0,69.0,75.0,65.0,63.0,82.0,60.0,66.0,86.0,65.0,69.0,75.0,58.0,64.0,65.0,64.0,61.0,13.0,16.0,8.0,8.0,16.0,5700000.0
31,72,72,2700000.0,8000.0,1860,0,1.0,3.0,3.0,8,5,11.0,183.0,81.0,69.0,52.0,57.0,74.0,59.0,72.0,65.0,66.0,74.0,73.0,54.0,54.0,61.0,73.0,56.0,65.0,57.0,77.0,80.0,63.0,60.0,68.0,69.0,71.0,67.0,57.0,59.0,62.0,60.0,8.0,6.0,15.0,7.0,7.0,3700000.0
34,72,72,875000.0,11000.0,1873,0,2.0,2.0,3.0,0,5,3.0,183.0,82.0,74.0,33.0,63.0,70.0,53.0,69.0,67.0,44.0,61.0,64.0,66.0,69.0,65.0,71.0,68.0,69.0,74.0,65.0,72.0,56.0,77.0,75.0,62.0,54.0,63.0,75.0,72.0,75.0,74.0,9.0,7.0,10.0,14.0,8.0,1600000.0
26,72,74,3100000.0,28000.0,1889,1,1.0,3.0,3.0,2,5,33.0,156.0,69.0,60.0,49.0,72.0,68.0,50.0,65.0,57.0,40.0,64.0,69.0,74.0,75.0,73.0,69.0,65.0,50.0,80.0,77.0,80.0,40.0,70.0,72.0,68.0,66.0,56.0,68.0,69.0,72.0,75.0,10.0,15.0,15.0,14.0,10.0,5400000.0
21,72,79,3700000.0,23000.0,1763,1,1.0,3.0,3.0,2,2,34.0,186.0,70.0,62.0,23.0,65.0,70.0,36.0,66.0,42.0,30.0,63.0,73.0,75.0,75.0,71.0,65.0,66.0,58.0,73.0,76.0,69.0,57.0,77.0,74.0,54.0,31.0,42.0,62.0,70.0,73.0,71.0,7.0,15.0,9.0,10.0,15.0,7100000.0
30,72,72,2900000.0,11000.0,1830,1,1.0,3.0,3.0,2,8,10.0,155.0,78.0,62.0,72.0,71.0,70.0,65.0,76.0,63.0,45.0,62.0,76.0,75.0,77.0,82.0,71.0,84.0,71.0,92.0,73.0,48.0,71.0,74.0,37.0,70.0,65.0,59.0,70.0,21.0,19.0,20.0,11.0,7.0,15.0,15.0,11.0,5900000.0
27,72,74,3000000.0,7000.0,1713,1,1.0,3.0,2.0,5,5,6.0,156.0,69.0,35.0,36.0,72.0,70.0,31.0,58.0,44.0,34.0,64.0,63.0,64.0,66.0,65.0,66.0,63.0,59.0,87.0,73.0,77.0,37.0,71.0,73.0,52.0,58.0,30.0,67.0,68.0,69.0,70.0,13.0,7.0,11.0,12.0,15.0,5100000.0
25,72,75,3200000.0,32000.0,1861,1,1.0,2.0,3.0,2,5,3.0,189.0,78.0,70.0,49.0,63.0,67.0,41.0,73.0,57.0,35.0,60.0,69.0,76.0,87.0,75.0,71.0,56.0,60.0,70.0,78.0,75.0,47.0,72.0,67.0,68.0,62.0,49.0,62.0,69.0,73.0,67.0,11.0,15.0,7.0,12.0,10.0,6300000.0
28,72,72,2500000.0,8000.0,1508,1,1.0,3.0,2.0,8,5,6.0,189.0,84.0,48.0,29.0,75.0,54.0,28.0,50.0,27.0,30.0,52.0,58.0,54.0,40.0,43.0,65.0,48.0,45.0,73.0,72.0,87.0,21.0,74.0,66.0,24.0,32.0,46.0,65.0,70.0,74.0,71.0,6.0,8.0,9.0,15.0,14.0,5300000.0
26,72,75,3200000.0,15000.0,1612,1,1.0,2.0,2.0,6,2,35.0,189.0,82.0,38.0,32.0,73.0,60.0,37.0,49.0,39.0,51.0,55.0,62.0,65.0,68.0,58.0,65.0,55.0,41.0,67.0,65.0,78.0,22.0,68.0,74.0,35.0,43.0,39.0,66.0,72.0,73.0,74.0,16.0,6.0,9.0,9.0,14.0,5100000.0
23,72,78,4300000.0,11000.0,1721,1,1.0,3.0,3.0,2,2,9.0,186.0,70.0,48.0,76.0,62.0,70.0,54.0,74.0,47.0,68.0,62.0,72.0,74.0,79.0,80.0,75.0,66.0,65.0,69.0,68.0,52.0,65.0,42.0,27.0,76.0,55.0,48.0,60.0,16.0,35.0,43.0,8.0,11.0,14.0,7.0,13.0,10200000.0
31,72,72,2000000.0,20000.0,1896,1,2.0,3.0,3.0,8,2,29.0,183.0,73.0,71.0,52.0,66.0,74.0,58.0,69.0,61.0,55.0,72.0,72.0,64.0,55.0,64.0,70.0,67.0,69.0,63.0,65.0,72.0,71.0,75.0,77.0,59.0,66.0,42.0,76.0,73.0,73.0,74.0,9.0,10.0,8.0,13.0,7.0,3900000.0
23,72,77,4200000.0,10000.0,1699,1,1.0,3.0,3.0,2,2,43.0,183.0,70.0,72.0,61.0,54.0,74.0,71.0,72.0,56.0,53.0,67.0,75.0,57.0,64.0,76.0,73.0,68.0,59.0,55.0,75.0,40.0,59.0,38.0,22.0,68.0,75.0,52.0,75.0,60.0,32.0,24.0,8.0,14.0,8.0,7.0,10.0,6500000.0
30,72,72,2900000.0,20000.0,1849,0,1.0,4.0,3.0,8,2,13.0,171.0,67.0,67.0,67.0,65.0,71.0,71.0,72.0,62.0,67.0,68.0,73.0,82.0,83.0,87.0,72.0,86.0,70.0,43.0,79.0,42.0,72.0,27.0,43.0,69.0,69.0,69.0,70.0,38.0,46.0,41.0,6.0,10.0,9.0,10.0,13.0,5000000.0
24,72,77,4200000.0,7000.0,1855,0,1.0,2.0,3.0,6,5,14.0,174.0,72.0,68.0,66.0,56.0,72.0,59.0,76.0,74.0,70.0,60.0,74.0,88.0,76.0,86.0,64.0,84.0,65.0,68.0,66.0,51.0,71.0,58.0,33.0,63.0,70.0,67.0,59.0,35.0,40.0,35.0,9.0,14.0,13.0,14.0,10.0,7000000.0
30,72,72,2900000.0,12000.0,1772,1,1.0,4.0,4.0,8,2,7.0,174.0,62.0,74.0,62.0,46.0,76.0,62.0,76.0,74.0,75.0,63.0,77.0,78.0,75.0,83.0,63.0,91.0,39.0,54.0,64.0,38.0,41.0,46.0,42.0,62.0,75.0,72.0,71.0,31.0,51.0,32.0,10.0,13.0,8.0,10.0,9.0,5600000.0
19,72,84,4700000.0,26000.0,1906,1,1.0,3.0,3.0,2,5,20.0,183.0,71.0,75.0,52.0,65.0,69.0,44.0,73.0,75.0,44.0,58.0,74.0,73.0,73.0,69.0,76.0,63.0,76.0,78.0,79.0,71.0,59.0,80.0,68.0,68.0,54.0,43.0,73.0,72.0,68.0,67.0,10.0,6.0,10.0,6.0,8.0,9600000.0
31,72,72,2700000.0,8000.0,1842,1,1.0,3.0,3.0,2,5,15.0,180.0,74.0,69.0,70.0,32.0,68.0,59.0,73.0,74.0,75.0,65.0,72.0,79.0,81.0,84.0,61.0,74.0,75.0,74.0,79.0,67.0,73.0,45.0,33.0,66.0,67.0,70.0,69.0,53.0,34.0,16.0,10.0,13.0,15.0,8.0,8.0,4400000.0
30,72,72,2300000.0,18000.0,1469,1,1.0,2.0,2.0,6,5,2.0,195.0,92.0,27.0,36.0,71.0,58.0,25.0,39.0,45.0,30.0,61.0,47.0,38.0,45.0,37.0,63.0,36.0,51.0,74.0,71.0,92.0,24.0,84.0,70.0,29.0,32.0,20.0,66.0,67.0,71.0,68.0,8.0,13.0,16.0,13.0,8.0,3000000.0
25,72,77,3500000.0,7000.0,1875,1,1.0,3.0,3.0,8,2,8.0,156.0,68.0,69.0,52.0,39.0,80.0,45.0,70.0,71.0,69.0,74.0,73.0,59.0,44.0,68.0,70.0,68.0,59.0,60.0,75.0,61.0,69.0,66.0,65.0,62.0,72.0,69.0,62.0,66.0,70.0,66.0,16.0,14.0,12.0,16.0,6.0,5800000.0
30,72,72,2900000.0,20000.0,1821,1,1.0,3.0,3.0,2,5,8.0,180.0,73.0,72.0,64.0,46.0,73.0,68.0,71.0,73.0,71.0,75.0,73.0,67.0,71.0,65.0,76.0,81.0,62.0,72.0,78.0,47.0,56.0,48.0,52.0,71.0,75.0,74.0,81.0,14.0,46.0,35.0,7.0,7.0,7.0,10.0,14.0,5600000.0
24,72,78,4300000.0,32000.0,1868,1,1.0,3.0,3.0,2,5,10.0,180.0,68.0,65.0,68.0,60.0,69.0,61.0,69.0,69.0,63.0,66.0,70.0,89.0,87.0,85.0,68.0,78.0,75.0,64.0,72.0,70.0,67.0,61.0,36.0,70.0,69.0,61.0,68.0,30.0,32.0,33.0,13.0,12.0,14.0,13.0,9.0,9000000.0
26,72,74,3100000.0,7000.0,1896,0,1.0,3.0,2.0,0,5,6.0,186.0,73.0,60.0,65.0,57.0,70.0,35.0,61.0,60.0,60.0,67.0,60.0,69.0,60.0,67.0,74.0,62.0,68.0,73.0,81.0,69.0,63.0,72.0,77.0,69.0,66.0,63.0,64.0,73.0,70.0,67.0,15.0,14.0,12.0,8.0,9.0,4500000.0
23,72,77,3500000.0,16000.0,1670,0,1.0,2.0,2.0,1,5,3.0,192.0,83.0,67.0,30.0,73.0,66.0,28.0,66.0,36.0,25.0,47.0,65.0,66.0,67.0,56.0,70.0,48.0,49.0,67.0,78.0,81.0,39.0,75.0,78.0,49.0,52.0,30.0,61.0,71.0,74.0,68.0,6.0,7.0,7.0,15.0,14.0,6800000.0
27,72,73,2900000.0,13000.0,1835,0,1.0,2.0,3.0,2,5,23.0,183.0,78.0,71.0,28.0,72.0,68.0,35.0,75.0,52.0,34.0,63.0,71.0,76.0,78.0,74.0,66.0,64.0,53.0,77.0,67.0,73.0,44.0,68.0,69.0,70.0,63.0,49.0,59.0,71.0,72.0,72.0,9.0,14.0,12.0,12.0,13.0,6000000.0
23,72,77,4200000.0,23000.0,1882,1,1.0,3.0,3.0,2,2,8.0,174.0,68.0,67.0,61.0,58.0,67.0,69.0,71.0,56.0,48.0,55.0,68.0,93.0,93.0,78.0,69.0,70.0,80.0,82.0,84.0,61.0,65.0,69.0,45.0,66.0,65.0,69.0,69.0,59.0,30.0,28.0,12.0,13.0,13.0,7.0,11.0,7400000.0
25,72,74,3800000.0,13000.0,1950,1,1.0,4.0,3.0,2,5,22.0,183.0,74.0,59.0,75.0,74.0,68.0,70.0,67.0,65.0,61.0,70.0,74.0,69.0,70.0,69.0,74.0,70.0,73.0,86.0,77.0,62.0,74.0,53.0,60.0,78.0,69.0,68.0,76.0,50.0,58.0,47.0,15.0,15.0,8.0,15.0,7.0,6000000.0
26,72,72,3300000.0,8000.0,1834,1,1.0,3.0,4.0,8,2,11.0,180.0,70.0,70.0,66.0,51.0,69.0,63.0,74.0,74.0,69.0,58.0,75.0,77.0,76.0,77.0,74.0,70.0,69.0,36.0,65.0,62.0,69.0,44.0,44.0,74.0,68.0,59.0,65.0,47.0,49.0,50.0,10.0,10.0,15.0,12.0,8.0,5300000.0
35,72,72,675000.0,5000.0,1901,1,2.0,3.0,3.0,6,5,22.0,155.0,82.0,78.0,56.0,74.0,70.0,43.0,71.0,63.0,57.0,71.0,74.0,53.0,47.0,68.0,73.0,55.0,66.0,75.0,63.0,74.0,59.0,68.0,75.0,65.0,71.0,59.0,76.0,72.0,76.0,76.0,13.0,16.0,8.0,6.0,6.0,1300000.0
27,72,73,2900000.0,35000.0,1830,0,1.0,3.0,3.0,0,2,12.0,156.0,66.0,73.0,34.0,62.0,68.0,44.0,69.0,50.0,46.0,62.0,66.0,79.0,75.0,72.0,68.0,77.0,64.0,70.0,82.0,62.0,65.0,40.0,66.0,56.0,67.0,48.0,64.0,69.0,72.0,71.0,10.0,9.0,14.0,9.0,11.0,5100000.0
33,72,72,1800000.0,24000.0,1988,0,2.0,2.0,3.0,8,5,11.0,186.0,84.0,84.0,62.0,61.0,74.0,70.0,67.0,86.0,76.0,76.0,75.0,54.0,53.0,62.0,72.0,61.0,86.0,67.0,60.0,69.0,76.0,69.0,65.0,63.0,73.0,74.0,68.0,71.0,66.0,63.0,11.0,13.0,6.0,16.0,7.0,3500000.0
23,72,78,4300000.0,13000.0,1918,0,1.0,2.0,3.0,8,2,14.0,183.0,71.0,68.0,67.0,66.0,71.0,52.0,72.0,61.0,63.0,69.0,71.0,75.0,73.0,80.0,67.0,68.0,65.0,67.0,71.0,67.0,77.0,47.0,72.0,71.0,71.0,55.0,66.0,58.0,61.0,55.0,8.0,14.0,16.0,7.0,13.0,7200000.0
36,72,72,975000.0,2000.0,1933,1,1.0,3.0,2.0,8,5,4.0,183.0,72.0,63.0,56.0,65.0,76.0,65.0,62.0,63.0,67.0,75.0,72.0,71.0,55.0,65.0,70.0,71.0,68.0,59.0,79.0,76.0,71.0,72.0,63.0,58.0,76.0,74.0,74.0,70.0,63.0,62.0,11.0,9.0,8.0,9.0,9.0,1500000.0
27,72,75,3100000.0,10000.0,1913,1,1.0,4.0,3.0,6,2,8.0,186.0,74.0,61.0,52.0,63.0,74.0,59.0,67.0,58.0,60.0,73.0,76.0,61.0,64.0,63.0,71.0,64.0,70.0,66.0,76.0,73.0,60.0,80.0,68.0,63.0,65.0,68.0,68.0,66.0,70.0,66.0,10.0,8.0,11.0,16.0,11.0,6500000.0
31,72,72,2100000.0,27000.0,1617,1,1.0,3.0,2.0,6,5,20.0,189.0,87.0,52.0,28.0,73.0,70.0,23.0,63.0,33.0,30.0,65.0,58.0,63.0,58.0,47.0,68.0,59.0,51.0,72.0,76.0,76.0,12.0,71.0,69.0,50.0,41.0,31.0,69.0,73.0,71.0,71.0,13.0,15.0,11.0,13.0,11.0,4000000.0
34,72,72,1600000.0,16000.0,1762,1,1.0,4.0,4.0,2,5,10.0,180.0,73.0,73.0,58.0,42.0,76.0,70.0,75.0,68.0,74.0,71.0,75.0,53.0,72.0,75.0,71.0,74.0,72.0,68.0,64.0,58.0,72.0,48.0,30.0,60.0,76.0,75.0,73.0,15.0,23.0,21.0,11.0,13.0,7.0,7.0,15.0,3000000.0
32,72,72,2400000.0,11000.0,1739,1,1.0,4.0,3.0,2,8,7.0,165.0,64.0,62.0,65.0,39.0,74.0,66.0,73.0,80.0,72.0,74.0,74.0,72.0,66.0,73.0,72.0,93.0,63.0,32.0,70.0,43.0,59.0,59.0,33.0,73.0,76.0,64.0,64.0,29.0,17.0,12.0,10.0,11.0,11.0,6.0,16.0,4800000.0
30,72,72,2900000.0,12000.0,2016,0,1.0,3.0,3.0,8,5,11.0,174.0,67.0,71.0,62.0,65.0,60.0,52.0,69.0,69.0,68.0,65.0,70.0,87.0,84.0,85.0,73.0,83.0,74.0,81.0,85.0,54.0,74.0,69.0,75.0,66.0,71.0,55.0,69.0,66.0,65.0,62.0,10.0,13.0,9.0,15.0,9.0,4400000.0
23,72,80,4600000.0,6000.0,1734,1,1.0,3.0,3.0,1,5,11.0,171.0,84.0,68.0,65.0,55.0,71.0,57.0,75.0,58.0,46.0,61.0,72.0,83.0,81.0,82.0,65.0,72.0,66.0,66.0,75.0,63.0,67.0,59.0,16.0,66.0,67.0,59.0,52.0,32.0,18.0,23.0,15.0,8.0,10.0,7.0,6.0,7800000.0
31,72,72,2100000.0,24000.0,1584,1,1.0,3.0,2.0,3,5,4.0,183.0,81.0,50.0,31.0,79.0,60.0,19.0,54.0,30.0,33.0,54.0,53.0,46.0,46.0,40.0,60.0,53.0,50.0,73.0,70.0,82.0,43.0,70.0,74.0,35.0,50.0,50.0,64.0,71.0,73.0,72.0,14.0,7.0,15.0,12.0,15.0,3600000.0
